p,thetaH,thetaL,objective,feasible
0.1,0.1,0.01,0.00010090909090906568,True
0.1,1.2000000000000002,0.01,0.00024000000000000006,True
0.1,1.2000000000000002,1.12,0.00024000000000000006,True
0.1,2.3000000000000003,0.01,0.00046000000000000007,True
0.1,2.3000000000000003,1.12,0.00046000000000000007,True
0.1,2.3000000000000003,2.23,0.00046000000000000007,True
0.1,3.4000000000000004,0.01,0.0006800000000000002,True
0.1,3.4000000000000004,1.12,0.0006800000000000002,True
0.1,3.4000000000000004,2.23,0.0006800000000000002,True
0.1,3.4000000000000004,3.34,0.0006800000000000002,True
0.1,4.5,0.01,0.0009000000000000001,True
0.1,4.5,1.12,0.0009000000000000001,True
0.1,4.5,2.23,0.0009000000000000001,True
0.1,4.5,3.34,0.0009000000000000001,True
0.1,4.5,4.45,0.0009000000000000001,True
0.1,5.6,0.01,0.00112,True
0.1,5.6,1.12,0.00112,True
0.1,5.6,2.23,0.00112,True
0.1,5.6,3.34,0.00112,True
0.1,5.6,4.45,0.00112,True
0.1,5.6,5.5600000000000005,0.00112,True
0.1,6.7,0.01,0.00134,True
0.1,6.7,1.12,0.00134,True
0.1,6.7,2.23,0.00134,True
0.1,6.7,3.34,0.00134,True
0.1,6.7,4.45,0.00134,True
0.1,6.7,5.5600000000000005,0.00134,True
0.1,6.7,6.67,0.00134,True
0.1,7.800000000000001,0.01,0.0015600000000000002,True
0.1,7.800000000000001,1.12,0.0015600000000000002,True
0.1,7.800000000000001,2.23,0.0015600000000000002,True
0.1,7.800000000000001,3.34,0.0015600000000000002,True
0.1,7.800000000000001,4.45,0.0015600000000000002,True
0.1,7.800000000000001,5.5600000000000005,0.0015600000000000002,True
0.1,7.800000000000001,6.67,0.0015600000000000002,True
0.1,7.800000000000001,7.78,0.0015600000000000002,True
0.1,8.9,0.01,0.0017800000000000001,True
0.1,8.9,1.12,0.0017800000000000001,True
0.1,8.9,2.23,0.0017800000000000001,True
0.1,8.9,3.34,0.0017800000000000001,True
0.1,8.9,4.45,0.0017800000000000001,True
0.1,8.9,5.5600000000000005,0.0017800000000000001,True
0.1,8.9,6.67,0.0017800000000000001,True
0.1,8.9,7.78,0.0017800000000000001,True
0.1,8.9,8.89,0.0017800000000000001,True
0.1,10.0,0.01,0.002,True
0.1,10.0,1.12,0.002,True
0.1,10.0,2.23,0.002,True
0.1,10.0,3.34,0.002,True
0.1,10.0,4.45,0.002,True
0.1,10.0,5.5600000000000005,0.002,True
0.1,10.0,6.67,0.002,True
0.1,10.0,7.78,0.002,True
0.1,10.0,8.89,0.002,True
0.1988888888888889,0.1,0.01,9.173676453917268e-05,True
0.1988888888888889,1.2000000000000002,0.01,0.00024000000000000006,True
0.1988888888888889,1.2000000000000002,1.12,0.00024000000000000006,True
0.1988888888888889,2.3000000000000003,0.01,0.00046000000000000007,True
0.1988888888888889,2.3000000000000003,1.12,0.00046000000000000007,True
0.1988888888888889,2.3000000000000003,2.23,0.00046000000000000007,True
0.1988888888888889,3.4000000000000004,0.01,0.0006800000000000002,True
0.1988888888888889,3.4000000000000004,1.12,0.0006800000000000002,True
0.1988888888888889,3.4000000000000004,2.23,0.0006800000000000002,True
0.1988888888888889,3.4000000000000004,3.34,0.0006800000000000002,True
0.1988888888888889,4.5,0.01,0.0009000000000000001,True
0.1988888888888889,4.5,1.12,0.0009000000000000001,True
0.1988888888888889,4.5,2.23,0.0009000000000000001,True
0.1988888888888889,4.5,3.34,0.0009000000000000001,True
0.1988888888888889,4.5,4.45,0.0009000000000000001,True
0.1988888888888889,5.6,0.01,0.00112,True
0.1988888888888889,5.6,1.12,0.00112,True
0.1988888888888889,5.6,2.23,0.00112,True
0.1988888888888889,5.6,3.34,0.00112,True
0.1988888888888889,5.6,4.45,0.00112,True
0.1988888888888889,5.6,5.5600000000000005,0.00112,True
0.1988888888888889,6.7,0.01,0.00134,True
0.1988888888888889,6.7,1.12,0.00134,True
0.1988888888888889,6.7,2.23,0.00134,True
0.1988888888888889,6.7,3.34,0.00134,True
0.1988888888888889,6.7,4.45,0.00134,True
0.1988888888888889,6.7,5.5600000000000005,0.00134,True
0.1988888888888889,6.7,6.67,0.00134,True
0.1988888888888889,7.800000000000001,0.01,0.0015600000000000002,True
0.1988888888888889,7.800000000000001,1.12,0.0015600000000000002,True
0.1988888888888889,7.800000000000001,2.23,0.0015600000000000002,True
0.1988888888888889,7.800000000000001,3.34,0.0015600000000000002,True
0.1988888888888889,7.800000000000001,4.45,0.0015600000000000002,True
0.1988888888888889,7.800000000000001,5.5600000000000005,0.0015600000000000002,True
0.1988888888888889,7.800000000000001,6.67,0.0015600000000000002,True
0.1988888888888889,7.800000000000001,7.78,0.0015600000000000002,True
0.1988888888888889,8.9,0.01,0.0017800000000000001,True
0.1988888888888889,8.9,1.12,0.0017800000000000001,True
0.1988888888888889,8.9,2.23,0.0017800000000000001,True
0.1988888888888889,8.9,3.34,0.0017800000000000001,True
0.1988888888888889,8.9,4.45,0.0017800000000000001,True
0.1988888888888889,8.9,5.5600000000000005,0.0017800000000000001,True
0.1988888888888889,8.9,6.67,0.0017800000000000001,True
0.1988888888888889,8.9,7.78,0.0017800000000000001,True
0.1988888888888889,8.9,8.89,0.0017800000000000001,True
0.1988888888888889,10.0,0.01,0.002,True
0.1988888888888889,10.0,1.12,0.002,True
0.1988888888888889,10.0,2.23,0.002,True
0.1988888888888889,10.0,3.34,0.002,True
0.1988888888888889,10.0,4.45,0.002,True
0.1988888888888889,10.0,5.5600000000000005,0.002,True
0.1988888888888889,10.0,6.67,0.002,True
0.1988888888888889,10.0,7.78,0.002,True
0.1988888888888889,10.0,8.89,0.002,True
